Firmenniederlassungen||||||||||
prefix:|Br|||||||||
||||||||||
id|name|start|end|display date|location|lat|long|(media)|(description)|(category)
text|text|date|date|text|text|num|num|[text]|text|text
||founding of branch|closing of branch|displayed date|name of location, e.g. 'Berlin'|first GPS-coordinate|second GPS-coordinate|key: Medium.id||
Br-1|Firmenzentrale|01.01.1964|01.01.9999|Seit 1964|Hamburg|53.33|10.0|M-33|Das Kaffeekontor der Familie Exelsior in der Hamburger Speicherstadt wird zu Beginn der Jahres 1964 zum neuen Firmensitz der Exemplum GmbH umgebaut. Ein weiteres Kontor wird hierfür angemietet.|Z
Br-2|Limonadenfabrik Hamburg|01.01.1964|01.01.9999|Seit 1964|Hamburg|53.33|10.0|M-34|Die Limonadenfabrik der Familie Plumbum in Hamburg-Bergedorf wird von der Exemplum GmbH als erste Fabrik übernommen.|F
Br-3|Kaffeeplantage in Guatemala|01.01.1964|01.01.1976|1964 bis 1976|Jocotenango, Guatemala ‎|14.58|-90.73|M-35|Die Kaffeeplantage in Guatemala ist seit Anfang des Jahrhunderts im Familienbesitz der Exelsiors und liefert ein Drittel des Kaffees für den Vertrieb.|P
Br-4|Kaffeeplantage in Brasilien|01.01.1964|01.01.1976|1964 bis 1976|Paraná, Brasilien|-25.25|-52.03|M-36|Die Kaffeeplantage in Brasilien war kurz nach dem zweiten Weltkrieg in den Besitz der Familie Exelsior gekommen. Sie liefert zwei Drittel des vertriebenen Kaffees.|P
Br-5|Limonadenfabrik Stuttgart|06.04.1967|01.01.9999|Seit dem 06.04.1967|Stuttgart|48.46|9.12||Aufgrund der steigenden Nachfrage in Deutschland wird in Stuttgart eine Limonadenfabrik gebaut. Diese soll den Bedarf in Süddeutschland decken. Außerdem ist im Folgejahr ein Markteintritt in der Schweiz und Österreich geplant. Die Limonadenfabrik in Stuttgart ist eine nach dem Bauhausstil errichtete Anlage und war zum Zeitpunkt der Fertigstellung auf dem neuesten Stand der Technik.|F
Br-6|Zweigestelle Schweiz/Österreich|01.01.1968|01.01.9999|Seit 1968|Wien|48.20|16.36|M-37|Zum Markteintritt in Österreich und der Schweiz wird in Wien eine Zweigstelle für den Vertrieb eingeweiht.|Z
Br-7|Zweigstelle Frankreich|01.01.1969|01.01.9999|Seit 1969|Paris|48.84|2.34|M-38|Zum Markteintritt in Frankreich wird in Paris eine Zweigstelle für den Vertrieb eingeweiht. Zum ersten Mal ist für den Vertrieb explizit die französische Sprache gefordert, weshalb die Zweigstelle nahezu ausschließlich von Franzosen betrieben und geleitet wird.|Z
Br-8|Limonadenfabrik Marseille|09.07.1972|01.01.9999|Seit dem 09.07.1972|Marseille|43.29|5.36||Um die steigende Nachfrage auf dem französischen Markt zu decken, wird in Marseille nach dem Vorbild in Stuttgart eine fast baugleiche Limonadenfabrik errichtet. Diese hatte allerdings die doppelten Kapazitäten des Stuttgarter Werks.|F
Br-9|Limonadenfabrik Manchester|01.01.1974|01.01.9999|Seit 1974|Manchester|53.48|-2.24||Die Limonadenfabrik Manchester wurde schon vor der Jahrhundertwende errichtet. Die Exemplum GmbH investiert 6 Millionen D-Mark, um die Fabrik wieder auf den neusten Stand der Technik zu bringen.|F
Br-10|Limonadenfabrik Mailand|01.01.1979|01.01.9999|Seit 1979|Mailand|45.46|9.18||Die Limonadenfabrik Mailland wurde nach dem zweiten Weltkrieg von der Firma Forza errichtet. Es waren nur wenige Investitionen nötig, um die Produtkion den Standards der Exemplum GmbH anzupassen. Der Vertrieb für Italien ist im Werk angesiedelt.|F
Br-11|Zweigstelle Spanien|01.01.1980|01.01.9999|Seit 1980|Barcelona|41.38|2.18|M-39|Die Zweigstelle in Barcelona leitet ab sofort den Vertrieb in Spanien.|Z
Br-12|Zweigstelle Portugal|01.01.1982|01.01.9999|Seit 1982|Lissabon|38.71|-9.14|M-40|Die Zweigstelle in Lissabon leitet ab sofort den Vertrieb in Portugal. Sie hat die geringste Mitarbeiterzahl und arbeitet eng mit der Zweigstelle in Barcelona zusammen.|Z
Br-13|Limonadenfabrik Madrid|01.01.1986|01.01.9999|Seit 1986|Madrid|40.42|-3.7||Um der steigenden Nachfrage in Spanien und Portugal gerecht zu werden wird in Madrid eine Limonadenfabrik eröffnet. Die neue Fabrik in Madrid produziert von da an den Bedarf an Ristoro für Spanien und Portugal, um die italienische Fabrik zu entlasten.|F
Br-14|Exemplum Store|14.02.1987|01.01.9999|Seit dem 14.02.1987|Hamburg|53.33|10.0||Der Zweck des Ladens liegt weniger in dem direkten Verkauf der Exemplum Produkte als in der Werbung für die Produkte und der Kreation eines Lebensgefühls, das mit diesen Produkten verbunden ist. Der Laden verschenkt an jeden Besucher ein Produkt seiner Wahl. Die Gestaltung erinnert sehr an ein amerikanisches Caffe aus den 60er Jahren.|S
